,position,club,goals
0,Forward,Real Madrid,25.0
1,Forward,Bayern,22.0
2,Forward,Ajax,19.0
3,Midfielder,Man. City,17.0
4,Midfielder,Liverpool,14.0
5,Midfielder,Villarreal,13.0
6,Forward,Benfica,11.0
7,Forward,Paris,11.0
8,Forward,Liverpool,10.0
9,Midfielder,Chelsea,10.0
10,Midfielder,Leipzig,9.0
11,Forward,Juventus,9.0
12,Forward,Man. United,9.0
13,Midfielder,Bayern,8.0
14,Forward,Atlético,7.0
15,Forward,Man. City,7.0
16,Forward,LOSC,6.0
17,Midfielder,Zenit,6.0
18,Forward,Chelsea,6.0
19,Midfielder,Atalanta,6.0
20,Forward,Sporting CP,6.0
21,Forward,Dortmund,6.0
22,Midfielder,Club Brugge,5.0
23,Forward,Leipzig,5.0
24,Forward,Inter,5.0
25,Midfielder,Salzburg,5.0
26,Midfielder,Sheriff,5.0
27,Defender,Chelsea,5.0
28,Midfielder,Sporting CP,5.0
29,Forward,Villarreal,5.0
30,Forward,Salzburg,4.0
31,Forward,Atalanta,4.0
32,Midfielder,Dortmund,4.0
33,Midfielder,Sevilla,4.0
34,Defender,Man. City,4.0
35,Midfielder,Paris,4.0
36,Forward,Young Boys,3.0
37,Midfielder,Young Boys,3.0
38,Defender,Sporting CP,3.0
39,Midfielder,Wolfsburg,3.0
40,Forward,Milan,3.0
41,Midfielder,Real Madrid,2.0
42,Forward,Wolfsburg,2.0
43,Forward,Sheriff,2.0
44,Defender,Atalanta,2.0
45,Defender,Benfica,2.0
46,Midfielder,Shakhtar Donetsk,2.0
47,Defender,Inter,2.0
48,Forward,Zenit,2.0
49,Defender,Liverpool,2.0
50,Defender,Man. United,2.0
51,Midfielder,LOSC,2.0
52,Defender,Villarreal,2.0
53,Midfielder,Inter,2.0
54,Midfielder,Porto,1.0
55,Midfielder,Dynamo Kyiv,1.0
56,Midfielder,Milan,1.0
57,Midfielder,Man. United,1.0
58,Midfielder,Malmö,1.0
59,Midfielder,Ajax,1.0
60,Midfielder,Beşiktaş,1.0
61,Midfielder,Juventus,1.0
62,Midfielder,Atlético,1.0
63,Defender,Ajax,1.0
64,Forward,Sevilla,1.0
65,Defender,Juventus,1.0
66,Forward,Beşiktaş,1.0
67,Forward,Barcelona,1.0
68,Defender,Zenit,1.0
69,Defender,Young Boys,1.0
70,Defender,Salzburg,1.0
71,Defender,Milan,1.0
72,Defender,Leipzig,1.0
73,Defender,Real Madrid,1.0
74,Forward,Porto,1.0
75,Defender,Atlético,1.0
76,Defender,Barcelona,1.0
77,Defender,Beşiktaş,1.0
78,Defender,Dynamo Kyiv,0.0
79,Forward,Malmö,0.0
80,Midfielder,Barcelona,0.0
81,Forward,Dynamo Kyiv,0.0
82,Midfielder,Benfica,0.0
83,Forward,Club Brugge,0.0
84,Defender,Bayern,0.0
85,Defender,LOSC,0.0
86,Defender,Sheriff,0.0
87,Defender,Shakhtar Donetsk,0.0
88,Defender,Sevilla,0.0
89,Defender,Club Brugge,0.0
90,Goalkeeper,Atalanta,0.0
91,Defender,Porto,0.0
92,Defender,Paris,0.0
93,Defender,Dortmund,0.0
94,Defender,Malmö,0.0
95,Defender,Wolfsburg,0.0
96,Forward,Shakhtar Donetsk,0.0
97,Goalkeeper,Zenit,0.0
98,Goalkeeper,Liverpool,0.0
99,Goalkeeper,Atlético,0.0
100,Goalkeeper,Barcelona,0.0
101,Goalkeeper,Bayern,0.0
102,Goalkeeper,Benfica,0.0
103,Goalkeeper,Beşiktaş,0.0
104,Goalkeeper,Chelsea,0.0
105,Goalkeeper,Club Brugge,0.0
106,Goalkeeper,Dortmund,0.0
107,Goalkeeper,Dynamo Kyiv,0.0
108,Goalkeeper,Inter,0.0
109,Goalkeeper,Juventus,0.0
110,Goalkeeper,LOSC,0.0
111,Goalkeeper,Leipzig,0.0
112,Goalkeeper,Malmö,0.0
113,Goalkeeper,Young Boys,0.0
114,Goalkeeper,Man. City,0.0
115,Goalkeeper,Man. United,0.0
116,Goalkeeper,Milan,0.0
117,Goalkeeper,Paris,0.0
118,Goalkeeper,Porto,0.0
119,Goalkeeper,Real Madrid,0.0
120,Goalkeeper,Salzburg,0.0
121,Goalkeeper,Sevilla,0.0
122,Goalkeeper,Shakhtar Donetsk,0.0
123,Goalkeeper,Sheriff,0.0
124,Goalkeeper,Sporting CP,0.0
125,Goalkeeper,Villarreal,0.0
126,Goalkeeper,Wolfsburg,0.0
127,Goalkeeper,Ajax,0.0
