club,position,minutes_played
Ajax,Defender,71.0
Ajax,Forward,52.0
Ajax,Midfielder,24.0
Ajax,Midfielder,38.0
Atalanta,Defender,56.0
Atalanta,Defender,45.0
Atalanta,Forward,33.0
Barcelona,Defender,19.0
Barcelona,Forward,15.0
Barcelona,Midfielder,17.0
Bayern,Defender,21.0
Bayern,Defender,52.0
Bayern,Defender,78.0
Bayern,Midfielder,49.0
Bayern,Midfielder,18.0
Benfica,Forward,9.0
Benfica,Forward,31.0
Benfica,Midfielder,39.0
Benfica,Midfielder,1.0
Club Brugge,Defender,55.0
Club Brugge,Defender,1.0
Club Brugge,Forward,68.0
Club Brugge,Forward,8.0
Club Brugge,Forward,26.0
Club Brugge,Midfielder,56.0
Dortmund,Defender,74.0
Dortmund,Forward,20.0
Dortmund,Midfielder,20.0
Dortmund,Midfielder,60.0
Dynamo Kyiv,Forward,81.0
Dynamo Kyiv,Forward,16.0
Dynamo Kyiv,Midfielder,54.0
Dynamo Kyiv,Midfielder,9.0
Inter,Defender,5.0
Inter,Midfielder,9.0
Inter,Midfielder,66.0
Juventus,Defender,81.0
Juventus,Defender,7.0
Juventus,Defender,3.0
Juventus,Forward,1.0
Juventus,Midfielder,80.0
Juventus,Midfielder,1.0
Juventus,Midfielder,9.0
Juventus,Midfielder,14.0
LOSC,Defender,13.0
LOSC,Forward,23.0
LOSC,Midfielder,47.0
LOSC,Midfielder,22.0
LOSC,Midfielder,9.0
Leipzig,Defender,51.0
Leipzig,Forward,88.0
Leipzig,Midfielder,24.0
Leipzig,Midfielder,60.0
Leipzig,Midfielder,10.0
Liverpool,Midfielder,59.0
Liverpool,Midfielder,1.0
Liverpool,Midfielder,1.0
Man. City,Defender,6.0
Man. City,Forward,71.0
Man. City,Forward,6.0
Man. City,Goalkeeper,17.0
Man. City,Midfielder,40.0
Man. City,Midfielder,45.0
Man. United,Defender,29.0
Man. United,Forward,75.0
Man. United,Forward,67.0
Man. United,Goalkeeper,68.0
Man. United,Goalkeeper,22.0
Man. United,Midfielder,68.0
Man. United,Midfielder,22.0
Man. United,Midfielder,1.0
Man. United,Midfielder,1.0
Milan,Defender,88.0
Milan,Defender,56.0
Milan,Forward,20.0
Paris,Defender,70.0
Paris,Forward,47.0
Paris,Midfielder,7.0
Porto,Forward,37.0
Porto,Forward,34.0
Porto,Midfielder,85.0
Porto,Midfielder,11.0
Real Madrid,Defender,66.0
Real Madrid,Defender,8.0
Real Madrid,Forward,84.0
Real Madrid,Forward,12.0
Real Madrid,Forward,7.0
Real Madrid,Midfielder,37.0
Real Madrid,Midfielder,6.0
Salzburg,Defender,23.0
Salzburg,Defender,84.0
Salzburg,Defender,4.0
Salzburg,Forward,4.0
Salzburg,Midfielder,38.0
Salzburg,Midfielder,23.0
Sevilla,Defender,80.0
Sevilla,Forward,83.0
Sevilla,Forward,20.0
Sevilla,Midfielder,22.0
Shakhtar Donetsk,Defender,83.0
Shakhtar Donetsk,Goalkeeper,4.0
Shakhtar Donetsk,Midfielder,56.0
Shakhtar Donetsk,Midfielder,84.0
Shakhtar Donetsk,Midfielder,4.0
Sheriff,Defender,52.0
Sheriff,Defender,79.0
Sheriff,Defender,1.0
Sheriff,Midfielder,15.0
Sporting CP,Defender,19.0
Sporting CP,Defender,73.0
Sporting CP,Defender,63.0
Sporting CP,Forward,32.0
Sporting CP,Forward,79.0
Sporting CP,Forward,1.0
Sporting CP,Midfielder,9.0
Villarreal,Defender,18.0
Villarreal,Defender,24.0
Villarreal,Forward,73.0
Villarreal,Midfielder,10.0
Villarreal,Midfielder,11.0
Wolfsburg,Forward,2.0
Wolfsburg,Midfielder,36.0
Young Boys,Defender,1.0
Young Boys,Forward,75.0
Young Boys,Forward,60.0
Young Boys,Midfielder,3.0
Young Boys,Midfielder,8.0
Young Boys,Midfielder,7.0
Zenit,Defender,68.0
Zenit,Forward,3.0
Zenit,Midfielder,11.0
Zenit,Midfielder,14.0
